timestamp,food_storage,wood_storage,role_counts_json,cumulative_role_changes,cumulative_deposits,pending_role_requests
1.00,0,0,"{""Unassigned"":8}",0,0,5
2.01,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
3.01,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
4.02,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
5.02,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
6.02,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
7.03,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
8.03,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
9.04,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
10.04,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
11.05,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
12.05,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
13.05,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
14.06,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
15.06,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
16.07,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
17.07,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
18.07,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,1
19.08,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
20.08,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
21.09,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
22.09,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
23.10,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
24.10,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
25.10,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
26.11,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
27.11,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
28.12,3,0,"{""Explorer"":5,""Gatherer"":3}",8,3,2
29.12,3,0,"{""Explorer"":5,""Gatherer"":3}",8,3,2
30.12,3,0,"{""Explorer"":5,""Gatherer"":3}",8,3,2
31.13,3,0,"{""Explorer"":5,""Gatherer"":3}",8,3,2
32.13,3,0,"{""Explorer"":5,""Gatherer"":3}",8,3,2
33.14,3,0,"{""Explorer"":5,""Gatherer"":3}",8,3,2
34.14,3,0,"{""Explorer"":5,""Gatherer"":3}",8,3,2
35.15,3,0,"{""Explorer"":5,""Gatherer"":3}",8,3,2
36.15,3,0,"{""Explorer"":5,""Gatherer"":3}",8,3,2
37.15,6,0,"{""Explorer"":5,""Gatherer"":3}",8,6,2
38.16,6,0,"{""Explorer"":5,""Gatherer"":3}",8,6,2
39.16,6,0,"{""Explorer"":5,""Gatherer"":3}",8,6,2
40.17,6,0,"{""Explorer"":5,""Gatherer"":3}",8,6,2
41.17,6,0,"{""Explorer"":5,""Gatherer"":3}",8,6,2
42.18,6,0,"{""Explorer"":5,""Gatherer"":3}",8,6,2
43.18,6,0,"{""Explorer"":5,""Gatherer"":3}",8,6,2
44.18,6,0,"{""Explorer"":5,""Gatherer"":3}",8,6,2
45.19,6,0,"{""Explorer"":5,""Gatherer"":3}",8,6,2
46.19,9,0,"{""Explorer"":5,""Gatherer"":3}",8,9,2
47.20,9,0,"{""Explorer"":5,""Gatherer"":3}",8,9,2
48.20,9,0,"{""Explorer"":5,""Gatherer"":3}",8,9,2
49.20,9,0,"{""Explorer"":5,""Gatherer"":3}",8,9,2
50.21,9,0,"{""Explorer"":5,""Gatherer"":3}",8,9,2
