timestamp,food_storage,wood_storage,role_counts_json,cumulative_role_changes,cumulative_deposits,pending_role_requests
1.00,0,0,"{""Unassigned"":16}",0,0,10
2.01,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
3.01,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
4.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
5.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
6.02,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
7.03,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
8.03,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
9.04,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
10.04,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
11.05,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
12.05,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
13.05,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
14.06,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
15.06,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
16.07,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
17.07,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
18.07,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
19.08,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
20.08,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
21.09,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
22.09,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
23.10,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
24.10,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
25.10,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
26.11,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
27.11,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
28.12,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
29.12,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
30.12,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
31.13,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
32.13,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
33.14,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
34.14,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
35.15,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
36.15,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,0
37.15,0,0,"{""Explorer"":10,""Unassigned"":6}",10,0,8
38.16,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,2
39.16,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
40.17,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
41.17,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
42.18,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
43.18,0,0,"{""Explorer"":10,""Gatherer"":6}",16,0,3
44.18,1,0,"{""Explorer"":10,""Gatherer"":6}",16,1,3
45.19,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
46.19,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
47.20,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
48.20,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
49.20,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
50.21,6,0,"{""Explorer"":10,""Gatherer"":6}",16,6,3
51.21,10,0,"{""Explorer"":10,""Gatherer"":6}",16,10,3
52.22,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
53.22,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
54.23,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
55.23,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
56.23,12,0,"{""Explorer"":10,""Gatherer"":6}",16,12,3
57.24,16,0,"{""Explorer"":10,""Gatherer"":6}",16,16,3
58.24,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
59.25,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
60.25,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
61.25,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
62.26,18,0,"{""Explorer"":10,""Gatherer"":6}",16,18,3
63.26,20,0,"{""Explorer"":10,""Gatherer"":6}",16,20,3
64.27,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
65.27,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
66.28,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
67.28,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
68.28,24,0,"{""Explorer"":10,""Gatherer"":6}",16,24,3
69.29,25,0,"{""Explorer"":10,""Gatherer"":6}",16,25,3
70.29,25,0,"{""Explorer"":10,""Gatherer"":6}",16,31,3
71.30,25,0,"{""Explorer"":9,""Gatherer"":7}",17,31,2
72.30,26,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,45,0
73.30,25,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,45,0
74.31,26,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
75.31,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
76.32,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
77.32,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
78.33,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
79.33,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
80.33,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
81.34,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
82.34,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
83.35,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
84.35,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
85.35,22,0,"{""Explorer"":7,""Gatherer"":8,""Unassigned"":1}",19,47,0
