timestamp,food_storage,wood_storage,role_counts_json,cumulative_role_changes,cumulative_deposits,pending_role_requests
1.00,0,0,"{""Unassigned"":8}",0,0,5
2.01,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
3.01,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
4.02,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
5.02,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
6.02,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
7.03,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
8.03,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
9.04,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
10.04,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,0
11.05,0,0,"{""Explorer"":5,""Unassigned"":3}",5,0,4
12.05,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,1
13.05,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
14.06,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
15.06,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
16.07,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
17.07,0,0,"{""Explorer"":5,""Gatherer"":3}",8,0,2
18.07,0,2,"{""Explorer"":5,""Gatherer"":3}",8,2,2
19.08,0,3,"{""Explorer"":5,""Gatherer"":3}",8,3,2
20.08,0,3,"{""Explorer"":5,""Gatherer"":3}",8,3,2
21.09,3,3,"{""Explorer"":5,""Gatherer"":3}",8,6,2
22.09,3,3,"{""Explorer"":5,""Gatherer"":3}",8,6,2
23.10,4,3,"{""Explorer"":5,""Gatherer"":3}",8,7,2
24.10,6,3,"{""Explorer"":5,""Gatherer"":3}",8,9,2
25.10,6,3,"{""Explorer"":5,""Gatherer"":3}",8,9,2
26.11,8,3,"{""Explorer"":5,""Gatherer"":3}",8,11,2
27.11,9,3,"{""Explorer"":5,""Gatherer"":3}",8,12,2
28.12,10,3,"{""Explorer"":5,""Gatherer"":3}",8,13,2
29.12,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
30.12,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
31.13,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
32.13,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
33.14,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
34.14,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
35.15,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
36.15,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
37.15,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
38.16,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
39.16,12,3,"{""Explorer"":5,""Gatherer"":3}",8,15,2
40.17,13,3,"{""Explorer"":5,""Gatherer"":3}",8,16,2
41.17,15,3,"{""Explorer"":5,""Gatherer"":3}",8,18,2
42.18,15,3,"{""Explorer"":5,""Gatherer"":3}",8,18,2
43.18,16,3,"{""Explorer"":5,""Gatherer"":3}",8,19,2
44.18,18,3,"{""Explorer"":5,""Gatherer"":3}",8,21,2
45.19,19,3,"{""Explorer"":5,""Gatherer"":3}",8,22,2
46.19,21,3,"{""Explorer"":5,""Gatherer"":3}",8,24,2
47.20,21,3,"{""Explorer"":5,""Gatherer"":3}",8,24,2
48.20,22,3,"{""Explorer"":5,""Gatherer"":3}",8,25,2
49.20,24,3,"{""Explorer"":5,""Gatherer"":3}",8,27,2
50.21,25,3,"{""Explorer"":5,""Gatherer"":3}",8,28,2
