population,respawn_time,mode,seed,run_tag,event,resource_type,timestamp,role_counts_at_discovery,agent_id,food_storage,last_role,wood_storage
16,90.0,static,3,pop16_respawn90.0_static_seed3,discovery,Food,16.9499999999994,"{""Explorer"":8,""Gatherer"":8}",,,,
16,90.0,static,4,pop16_respawn90.0_static_seed4,discovery,Wood,13.5999999999995,"{""Explorer"":8,""Gatherer"":8}",,,,
16,90.0,static,4,pop16_respawn90.0_static_seed4,discovery,Food,28.4666666666654,"{""Explorer"":8,""Gatherer"":8}",,,,
16,90.0,static,5,pop16_respawn90.0_static_seed5,discovery,Food,14.0999999999995,"{""Explorer"":8,""Gatherer"":8}",,,,
16,90.0,static,5,pop16_respawn90.0_static_seed5,discovery,Wood,67.3833333333542,"{""Explorer"":8,""Gatherer"":8}",,,,
4,10.0,dynamic,1,pop4_respawn10.0_dynamic_seed1,discovery,Food,19.7666666666659,"{""Explorer"":3,""Unassigned"":1}",,,,
4,10.0,dynamic,1,pop4_respawn10.0_dynamic_seed1,discovery,Wood,56.8500000000183,"{""Explorer"":3,""Gatherer"":1}",,,,
4,10.0,dynamic,2,pop4_respawn10.0_dynamic_seed2,discovery,Food,26.2833333333322,"{""Explorer"":3,""Unassigned"":1}",,,,
4,10.0,dynamic,3,pop4_respawn10.0_dynamic_seed3,discovery,Food,15.5999999999994,"{""Explorer"":3,""Unassigned"":1}",,,,
4,10.0,dynamic,3,pop4_respawn10.0_dynamic_seed3,discovery,Wood,17.666666666666,"{""Explorer"":3,""Gatherer"":1}",,,,
4,10.0,dynamic,4,pop4_respawn10.0_dynamic_seed4,discovery,Food,25.2833333333322,"{""Explorer"":3,""Unassigned"":1}",,,,
4,10.0,dynamic,4,pop4_respawn10.0_dynamic_seed4,discovery,Wood,37.2500000000027,"{""Explorer"":3,""Gatherer"":1}",,,,
4,10.0,dynamic,5,pop4_respawn10.0_dynamic_seed5,discovery,Food,38.1333333333367,"{""Explorer"":3,""Unassigned"":1}",,,,
4,10.0,static,1,pop4_respawn10.0_static_seed1,discovery,Food,15.6333333333328,"{""Explorer"":2,""Gatherer"":2}",,,,
4,10.0,static,1,pop4_respawn10.0_static_seed1,discovery,Wood,45.4333333333425,"{""Explorer"":2,""Gatherer"":2}",,,,
4,10.0,static,2,pop4_respawn10.0_static_seed2,discovery,Food,29.9499999999986,"{""Explorer"":2,""Gatherer"":2}",,,,
4,10.0,static,3,pop4_respawn10.0_static_seed3,discovery,Food,19.9166666666659,"{""Explorer"":2,""Gatherer"":2}",,,,
4,10.0,static,4,pop4_respawn10.0_static_seed4,discovery,Food,90.8666666666662,"{""Explorer"":2,""Gatherer"":2}",,,,
4,10.0,static,4,pop4_respawn10.0_static_seed4,death,,99.9999999999912,,43352327838,0.0,Explorer,0.0
4,10.0,static,4,pop4_respawn10.0_static_seed4,death,,99.9999999999912,,43822089928,0.0,Explorer,0.0
4,10.0,static,4,pop4_respawn10.0_static_seed4,death,,99.9999999999912,,44291851993,0.0,Gatherer,0.0
4,10.0,static,4,pop4_respawn10.0_static_seed4,death,,99.9999999999912,,44761614058,0.0,Gatherer,0.0
4,10.0,static,5,pop4_respawn10.0_static_seed5,discovery,Food,46.2666666666765,"{""Explorer"":2,""Gatherer"":2}",,,,
4,10.0,static,5,pop4_respawn10.0_static_seed5,discovery,Wood,59.4500000000203,"{""Explorer"":2,""Gatherer"":2}",,,,
4,30.0,dynamic,1,pop4_respawn30.0_dynamic_seed1,discovery,Food,19.7666666666659,"{""Explorer"":3,""Unassigned"":1}",,,,
4,30.0,dynamic,1,pop4_respawn30.0_dynamic_seed1,discovery,Wood,56.8500000000183,"{""Explorer"":3,""Gatherer"":1}",,,,
4,30.0,dynamic,2,pop4_respawn30.0_dynamic_seed2,discovery,Food,26.2833333333322,"{""Explorer"":3,""Unassigned"":1}",,,,
4,30.0,dynamic,3,pop4_respawn30.0_dynamic_seed3,discovery,Food,15.5999999999994,"{""Explorer"":3,""Unassigned"":1}",,,,
4,30.0,dynamic,3,pop4_respawn30.0_dynamic_seed3,discovery,Wood,17.666666666666,"{""Explorer"":3,""Gatherer"":1}",,,,
4,30.0,dynamic,4,pop4_respawn30.0_dynamic_seed4,discovery,Food,25.2833333333322,"{""Explorer"":3,""Unassigned"":1}",,,,
4,30.0,dynamic,4,pop4_respawn30.0_dynamic_seed4,discovery,Wood,37.2500000000027,"{""Explorer"":3,""Gatherer"":1}",,,,
4,30.0,dynamic,5,pop4_respawn30.0_dynamic_seed5,discovery,Food,38.1333333333367,"{""Explorer"":3,""Unassigned"":1}",,,,
4,30.0,static,1,pop4_respawn30.0_static_seed1,discovery,Food,15.6333333333328,"{""Explorer"":2,""Gatherer"":2}",,,,
4,30.0,static,1,pop4_respawn30.0_static_seed1,discovery,Wood,45.4333333333425,"{""Explorer"":2,""Gatherer"":2}",,,,
4,30.0,static,2,pop4_respawn30.0_static_seed2,discovery,Food,29.9499999999986,"{""Explorer"":2,""Gatherer"":2}",,,,
4,30.0,static,3,pop4_respawn30.0_static_seed3,discovery,Food,19.9166666666659,"{""Explorer"":2,""Gatherer"":2}",,,,
4,30.0,static,4,pop4_respawn30.0_static_seed4,discovery,Food,90.8666666666662,"{""Explorer"":2,""Gatherer"":2}",,,,
4,30.0,static,4,pop4_respawn30.0_static_seed4,death,,99.9999999999912,,43352327838,0.0,Explorer,0.0
4,30.0,static,4,pop4_respawn30.0_static_seed4,death,,99.9999999999912,,43822089928,0.0,Explorer,0.0
4,30.0,static,4,pop4_respawn30.0_static_seed4,death,,99.9999999999912,,44291851993,0.0,Gatherer,0.0
4,30.0,static,4,pop4_respawn30.0_static_seed4,death,,99.9999999999912,,44761614058,0.0,Gatherer,0.0
4,30.0,static,5,pop4_respawn30.0_static_seed5,discovery,Food,46.2666666666765,"{""Explorer"":2,""Gatherer"":2}",,,,
4,30.0,static,5,pop4_respawn30.0_static_seed5,discovery,Wood,59.4500000000203,"{""Explorer"":2,""Gatherer"":2}",,,,
4,90.0,dynamic,1,pop4_respawn90.0_dynamic_seed1,discovery,Food,19.7666666666659,"{""Explorer"":3,""Unassigned"":1}",,,,
4,90.0,dynamic,1,pop4_respawn90.0_dynamic_seed1,discovery,Wood,56.8500000000183,"{""Explorer"":3,""Gatherer"":1}",,,,
4,90.0,dynamic,2,pop4_respawn90.0_dynamic_seed2,discovery,Food,26.2833333333322,"{""Explorer"":3,""Unassigned"":1}",,,,
4,90.0,dynamic,3,pop4_respawn90.0_dynamic_seed3,discovery,Food,15.5999999999994,"{""Explorer"":3,""Unassigned"":1}",,,,
4,90.0,dynamic,3,pop4_respawn90.0_dynamic_seed3,discovery,Wood,17.666666666666,"{""Explorer"":3,""Gatherer"":1}",,,,
4,90.0,dynamic,4,pop4_respawn90.0_dynamic_seed4,discovery,Food,25.2833333333322,"{""Explorer"":3,""Unassigned"":1}",,,,
4,90.0,dynamic,4,pop4_respawn90.0_dynamic_seed4,discovery,Wood,37.2500000000027,"{""Explorer"":3,""Gatherer"":1}",,,,
4,90.0,dynamic,5,pop4_respawn90.0_dynamic_seed5,discovery,Food,38.1333333333367,"{""Explorer"":3,""Unassigned"":1}",,,,
